ns1:Name;ns1:TotalTimeSeconds;ns1:DistanceMeters;ns1:LatitudeDegrees;ns1:LongitudeDegrees;ns1:LatitudeDegrees2;ns1:LongitudeDegrees3;ns1:Intensity;ns1:Time;ns1:LatitudeDegrees4;ns1:LongitudeDegrees5;ns1:AltitudeMeters;ns2:Speed
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:11Z;-34,195564;-70,667286;597,026;
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:15Z;-34,195552;-70,667147;599,047;3.2520561802380206
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:19Z;-34,195539;-70,667019;600,011;2.9757290651624375
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:23Z;-34,195534;-70,66688;602,007;3.237887434406587
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:27Z;-34,195531;-70,666738;605,079;3.351078580236426
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:30Z;-34,195525;-70,666629;604,046;3.365590403692666
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:33Z;-34,195524;-70,666519;604,075;3.3725120222788827
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:36Z;-34,195518;-70,666403;605,043;3.578756871594346
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:39Z;-34,195509;-70,666289;605,084;3.5108220893199094
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:42Z;-34,195504;-70,666178;606,094;3.4242717225736747
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:45Z;-34,195499;-70,666067;606,059;3.408009256476342
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:48Z;-34,195489;-70,665957;607,069;3.408953520407131
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:51Z;-34,19548;-70,665844;606,004;3.4962322403529633
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:54Z;-34,195469;-70,665731;606,024;3.488192098129549
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:43:57Z;-34,19546;-70,66562;606,007;3.419279273042037
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:00Z;-34,195455;-70,665508;607,013;3.454742002551488
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:03Z;-34,195445;-70,665398;606,09;3.4089552616433427
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:06Z;-34,195436;-70,66529;606,029;3.3277589361065743
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:10Z;-34,195429;-70,665149;606,057;3.247852729173929
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:14Z;-34,195437;-70,665004;607,048;3.3507384810992167
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:18Z;-34,195438;-70,664864;606,068;3.22883789985669
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:22Z;-34,195443;-70,664719;606,073;3.3368860303241665
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:26Z;-34,195442;-70,664576;606,067;3.2881213385705133
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:29Z;-34,195433;-70,664463;606,081;3.480307765985384
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:32Z;-34,195425;-70,664346;607,019;3.614551978103029
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:34Z;-34,195415;-70,664234;607,007;5.180361920138637
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:37Z;-34,195403;-70,664121;606,093;3.508591106355541
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:41Z;-34,195393;-70,664008;607,01;2.624975028799072
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:44Z;-34,195388;-70,663897;607,029;3.408013728989964
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:47Z;-34,195382;-70,663782;607,047;3.532607966955372
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:50Z;-34,195373;-70,663669;607,018;3.4803102196804905
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:53Z;-34,195361;-70,663558;608,048;3.448065953930156
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:56Z;-34,195357;-70,663444;607,023;3.513933665791676
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:44:59Z;-34,195349;-70,663331;607,087;3.476954326422822
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:45:02Z;-34,195347;-70,663218;607,042;3.4650806724415006
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:45:05Z;-34,195345;-70,663105;607,026;3.465080754584239
20140802 - EnduBaik Leo Larga;0;29251;-34,195564;-70,667286;-34,190669;-70,679;Active;2014-08-02T15:45:08Z;-34,195342;-70,662994;607,007;3.4047891991406627
