ns1:Name;ns1:TotalTimeSeconds;ns1:DistanceMeters;ns1:LatitudeDegrees;ns1:LongitudeDegrees;ns1:LatitudeDegrees2;ns1:LongitudeDegrees3;ns1:Intensity;ns1:Time;ns1:LatitudeDegrees4;ns1:LongitudeDegrees5;ns1:AltitudeMeters;ns2:Speed
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:43Z;-34,195401;-70,63956;648,878;
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:44Z;-34,195431;-70,639545;648,833;3,609865414
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:45Z;-34,195468;-70,639541;649,026;4,135466683
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:46Z;-34,195514;-70,639542;649,008;5,115793433
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:47Z;-34,19557;-70,639547;649,013;6,243873226
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:48Z;-34,195634;-70,639563;648,825;7,269778829
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:49Z;-34,195704;-70,639589;648,83;8,14268354
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:50Z;-34,195864;-70,639762;648,667;23,86901669
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:51Z;-34,195943;-70,639813;648,67;9,958260847
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:52Z;-34,196024;-70,639863;648,077;10,13060521
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:53Z;-34,196094;-70,639901;647,87;8,534609674
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:54Z;-34,19616;-70,639929;647,63;7,780140812
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:55Z;-34,196177;-70,639999;647,621;6,709772955
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:56Z;-34,196223;-70,640008;647,641;5,181509436
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:57Z;-34,196272;-70,64;647,805;5,501642481
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:58Z;-34,196317;-70,639955;647,808;6,493581766
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:18:59Z;-34,196317;-70,639955;647,678;0,2
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:00Z;-34,19639;-70,639808;647,21;15,77444983
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:01Z;-34,19639;-70,639808;647,065;0,2
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:02Z;-34,196485;-70,639591;646,622;22,58447282
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:03Z;-34,196501;-70,639502;646,275;8,386079673
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:04Z;-34,196529;-70,639426;645,282;7,716918526
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:05Z;-34,196576;-70,63937;645,095;7,340237997
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:06Z;-34,196639;-70,63933;644,065;7,975448388
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:07Z;-34,196713;-70,6393;643,025;8,73611667
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:08Z;-34,196789;-70,639273;642,626;8,817175961
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:09Z;-34,196852;-70,63923;641,608;8,106411
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:10Z;-34,196909;-70,639182;641,208;7,734353808
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:11Z;-34,196965;-70,639161;641,018;6,522630801
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:12Z;-34,196965;-70,639161;641,02;0
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:13Z;-34,197087;-70,639159;641,215;13,56850212
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:14Z;-34,197143;-70,639153;641,442;6,254517479
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:15Z;-34,197201;-70,639145;642,055;6,518810498
Buitrera - LasTorres;0;14612;-34,195401;-70,63956;-34,195294;-70,639829;Active;2021-03-19T21:19:16Z;-34,19726;-70,63913;642,682;6,730775209
