,ns1:Name,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:LatitudeDegrees2,ns1:LongitudeDegrees3,ns1:Intensity,ns1:Time,ns1:LatitudeDegrees4,ns1:LongitudeDegrees5,ns1:AltitudeMeters,ns2:Speed,lon,lat,dlon,dlat,d_r,a_r
0,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:11Z,-34.195564,-70.667286,597.026,,-1.2333768141484935,-0.5968251813764421,0.0,0.0,0,0.0
1,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:15Z,-34.195552,-70.667147,599.047,3.2520561802380206,-1.2333743881408332,-0.596824971936932,2.4260076603166425e-06,2.0943951017926565e-07,12.85355633224287,2.021000000000072
2,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:19Z,-34.195539,-70.667019,600.011,2.9757290651624375,-1.2333721541193907,-0.5968247450441292,2.234021442504286e-06,2.2689280276821933e-07,11.860835362374479,2.9850000000000136
3,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:23Z,-34.195534,-70.66688,602.007,3.237887434406587,-1.2333697281117306,-0.5968246577776667,2.426007660094598e-06,8.726646250067915e-08,12.796196333501097,4.9809999999999945
4,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:27Z,-34.195531,-70.666738,605.079,3.351078580236426,-1.2333672497441925,-0.5968246054177891,2.4783675380835035e-06,5.2359877544816413e-08,13.064288821935943,8.052999999999997
5,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:30Z,-34.195525,-70.666629,604.046,3.365590403692666,-1.233365347335308,-0.596824500698034,1.9024088846464338e-06,1.0471975508963283e-07,10.047128390511325,7.0200000000000955
6,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:33Z,-34.195524,-70.666519,604.075,3.3725120222788827,-1.2333634274731307,-0.5968244832447415,1.9198621772353874e-06,1.7453292588953673e-08,10.117536066458005,7.049000000000092
7,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:36Z,-34.195518,-70.666403,605.043,3.578756871594346,-1.2333614028911986,-0.5968243785249863,2.0245819321029757e-06,1.0471975520065513e-07,10.689598061106098,8.017000000000053
8,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:39Z,-34.195509,-70.666289,605.084,3.5108220893199094,-1.2333594132158512,-0.5968242214453536,1.9896753473691575e-06,1.5707963263444924e-07,10.532466268779014,8.057999999999993
9,20140802 - EnduBaik Leo Larga,0,29251,-34.195564,-70.667286,-34.190669,-70.679,Active,2014-08-02T15:43:42Z,-34.195504,-70.666178,606.094,3.4242717225736747,-1.2333574759003816,-0.596824134178891,1.9373154696022965e-06,8.726646261170146e-08,10.224027164019445,9.068000000000097
