,ns1:Name,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns1:LatitudeDegrees2,ns1:LongitudeDegrees3,ns1:Intensity,ns1:Time,ns1:LatitudeDegrees4,ns1:LongitudeDegrees5,ns1:AltitudeMeters,ns2:Speed,lon,lat,dlon,dlat,d_r,a_r
0,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:20Z,-34.194614,-70.639827,684.879,,-1.2328975641891884,-0.5968086007485484,0.0,0.0,0,0.0
1,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:21Z,-34.194622,-70.639796,684.805,2.986712652,-1.2328970231371204,-0.5968087403748885,5.410520680371178e-07,-1.3962634015651787e-07,2.986712651789044,-0.07400000000006912
2,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:25Z,-34.194651,-70.639676,686.025,2.890161056,-1.232894928742018,-0.5968092465203715,2.0943951024587903e-06,-5.061454829702328e-07,11.498195287904172,1.1459999999999582
3,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:26Z,-34.194658,-70.639649,686.008,2.602399929,-1.23289445750312,-0.5968093686934192,4.712388979033477e-07,-1.221730476785865e-07,2.6023999293586364,1.129000000000019
4,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:27Z,-34.194664,-70.639619,686.284,2.845741133,-1.2328939339043443,-0.5968094734131744,5.235987756702087e-07,-1.0471975520065513e-07,2.838704386848723,1.4049999999999727
5,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:28Z,-34.194671,-70.639589,686.432,2.873843675,-1.2328934103055686,-0.5968095955862219,5.235987756702087e-07,-1.221730475675642e-07,2.866875908210977,1.5529999999999973
6,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:29Z,-34.194677,-70.639559,686.693,2.84574072,-1.2328928867067932,-0.596809700305977,5.235987754481641e-07,-1.0471975508963283e-07,2.8387039720888865,1.8139999999999645
7,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:30Z,-34.194683,-70.639527,686.845,3.024426964,-1.2328923282014326,-0.5968098050257321,5.585053606260715e-07,-1.0471975508963283e-07,3.017806895785659,1.9660000000000082
8,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:31Z,-34.19469,-70.639493,687.098,3.228697031,-1.2328917347894868,-0.5968099271987798,5.934119458039788e-07,-1.221730476785865e-07,3.222496628617768,2.2189999999999372
9,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:32Z,-34.194697,-70.639462,687.279,2.962258131,-1.2328911937374185,-0.5968100493718274,5.410520682591624e-07,-1.221730475675642e-07,2.9554988137261304,2.3999999999999773
10,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:33Z,-34.194704,-70.639436,687.268,2.514786367,-1.2328907399518132,-0.5968101715448751,4.5378560531439405e-07,-1.221730477896088e-07,2.514786367081935,2.38900000000001
11,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:34Z,-34.194711,-70.639413,687.25,2.254034921,-1.2328903385260852,-0.5968102937179227,4.0142572799162224e-07,-1.221730475675642e-07,2.2540349214417725,2.370999999999981
12,LasTorres/PinoskyTrail XL,0,14487,-34.194614,-70.639827,-34.195346,-70.639811,Active,2021-06-12T21:15:35Z,-34.194716,-70.639389,687.484,2.285060885,-1.2328899196470646,-0.5968103809843853,4.188790205805759e-07,-8.726646261170146e-08,2.2762915555772487,2.605000000000018
